Model,CV_Score_Mean,CV_Score_Std
LGBM_n500_d6,0.80356794515705,0.00071783426520896
LGBM_n500_d10,0.80356794515705,0.00071783426520896
CAT_n200_d3,0.80356794515705,0.00071783426520896
LogReg_C0.1_lbfgs,0.80356794515705,0.00071783426520896
CAT_n500_d3,0.80356794515705,0.00071783426520896
LogReg_C0.1_liblinear,0.80356794515705,0.00071783426520896
KNN_k15_uniform,0.80356794515705,0.00071783426520896
DT_depth5_gini,0.80356794515705,0.00071783426520896
ET_n100_d15,0.80356794515705,0.00071783426520896
DT_depth5_entropy,0.80356794515705,0.00071783426520896
ET_n100_d8,0.80356794515705,0.00071783426520896
RF_n100_d8,0.80356794515705,0.00071783426520896
RF_n200_d8,0.80356794515705,0.00071783426520896
ET_n200_d8,0.80356794515705,0.00071783426520896
RF_n200_d15,0.80356794515705,0.00071783426520896
ET_n200_d15,0.80356794515705,0.00071783426520896
